product_name,category,price,stock
Apple,Fruits,160,136
Banana,Fruits,60,137
Orange,Fruits,80,138
Biscuit,Snacks,25,139
Rice,,60,140
Wheat,Grains,50,141
Sugar,Essentials,45,142
Oil,Essentials,140,143
Milk,Dairy,30,144
,Dairy,35,145
Bread,Bakery,40,146
Eggs,Poultry,75,147
Tea,Beverages,120,148
Coffee,Beverages,180,149
Salt,Essentials,,100
Toor Dal,Pulses,160,101
Chana Dal,Pulses,90,102
Potato,Vegetables,30,103
Onion,Vegetables,35,104
Tomato,Vegetables,40,105
Apple,Fruits,160,106
Banana,Fruits,60,107
Orange,Fruits,80,108
Biscuit,Snacks,25,109
,,60,
Wheat,Grains,50,111
Sugar,Essentials,45,112
Oil,Essentials,140,113
Milk,Dairy,30,114
Curd,Dairy,35,115
Bread,Bakery,40,116
Eggs,Poultry,75,117
Tea,Beverages,120,118
Coffee,Beverages,180,119
Salt,Essentials,20,120
Toor Dal,Pulses,160,121
Chana Dal,Pulses,90,122
Potato,Vegetables,30,123
Onion,Vegetables,35,124
,Vegetables,,125
Apple,Fruits,160,126
Banana,Fruits,60,127
Orange,Fruits,80,128
Biscuit,Snacks,25,129
Rice,,60,130
Wheat,Grains,50,131
Sugar,Essentials,45,132
Oil,Essentials,140,133
Milk,Dairy,30,134
Curd,Dairy,35,135
Bread,Bakery,40,136
Eggs,Poultry,75,137
Tea,Beverages,120,138
Coffee,Beverages,180,139
,Essentials,20,
Toor Dal,Pulses,160,141
Chana Dal,Pulses,90,142
Potato,Vegetables,30,143
Onion,Vegetables,35,144
Tomato,Vegetables,40,145
Apple,Fruits,160,146
Banana,Fruits,60,147
Orange,Fruits,80,148
Biscuit,Snacks,25,149
Rice,,,100
Wheat,Grains,50,101
Sugar,Essentials,45,102
Oil,Essentials,140,103
Milk,Dairy,30,104
,Dairy,35,105
Bread,Bakery,40,106
Eggs,Poultry,75,107
Tea,Beverages,120,108
Coffee,Beverages,180,109
Salt,Essentials,20,110
Toor Dal,Pulses,160,111
Chana Dal,Pulses,90,112
Potato,Vegetables,30,113
Onion,Vegetables,35,114
Tomato,Vegetables,40,115
Apple,Fruits,160,116
Banana,Fruits,60,117
Orange,Fruits,80,118
Biscuit,Snacks,25,119
,,60,
Wheat,Grains,50,121
Sugar,Essentials,45,122
Oil,Essentials,140,123
Milk,Dairy,30,124
Curd,Dairy,,125
Bread,Bakery,40,126
Eggs,Poultry,75,127
Tea,Beverages,120,128
Coffee,Beverages,180,129
Salt,Essentials,20,130
Toor Dal,Pulses,160,131
Chana Dal,Pulses,90,132
Potato,Vegetables,30,133
Onion,Vegetables,35,134
,Vegetables,40,135
Apple,Fruits,160,136
Banana,Fruits,60,137
Orange,Fruits,80,138
Biscuit,Snacks,25,139
Rice,,60,140
Wheat,Grains,50,141
Sugar,Essentials,45,142
Oil,Essentials,140,143
Milk,Dairy,30,144
Curd,Dairy,35,145
Bread,Bakery,40,146
Eggs,Poultry,75,147
Tea,Beverages,120,148
Coffee,Beverages,180,149
,Essentials,,
Toor Dal,Pulses,160,101
Chana Dal,Pulses,90,102
Potato,Vegetables,30,103
Onion,Vegetables,35,104
Tomato,Vegetables,40,105
Apple,Fruits,160,106
Banana,Fruits,60,107
Orange,Fruits,80,108
Biscuit,Snacks,25,109
Rice,,60,110
Wheat,Grains,50,111
Sugar,Essentials,45,112
Oil,Essentials,140,113
Milk,Dairy,30,114
,Dairy,35,115
Bread,Bakery,40,116
Eggs,Poultry,75,117
Tea,Beverages,120,118
Coffee,Beverages,180,119
Salt,Essentials,20,120
Toor Dal,Pulses,160,121
Chana Dal,Pulses,90,122
Potato,Vegetables,30,123
Onion,Vegetables,35,124
Tomato,Vegetables,,125
Apple,Fruits,160,126
Banana,Fruits,60,127
Orange,Fruits,80,128
Biscuit,Snacks,25,129
,,60,
Wheat,Grains,50,131
Sugar,Essentials,45,132
Oil,Essentials,140,133
Milk,Dairy,30,134
Curd,Dairy,35,135
Bread,Bakery,40,136
Eggs,Poultry,75,137
Tea,Beverages,120,138
Coffee,Beverages,180,139
Salt,Essentials,20,140
Toor Dal,Pulses,160,141
Chana Dal,Pulses,90,142
Potato,Vegetables,30,143
Onion,Vegetables,35,144
,Vegetables,40,145
Apple,Fruits,160,146
Banana,Fruits,60,147
Orange,Fruits,80,148
Biscuit,Snacks,25,149
Rice,,,100
Wheat,Grains,50,101
Sugar,Essentials,45,102
Oil,Essentials,140,103
Milk,Dairy,30,104
Curd,Dairy,35,105
Bread,Bakery,40,106
Eggs,Poultry,75,107
Tea,Beverages,120,108
Coffee,Beverages,180,109
,Essentials,20,
Toor Dal,Pulses,160,111
Chana Dal,Pulses,90,112
Potato,Vegetables,30,113
Onion,Vegetables,35,114
Tomato,Vegetables,40,115
Apple,Fruits,160,116
Banana,Fruits,60,117
Orange,Fruits,80,118
Biscuit,Snacks,25,119
Rice,,60,120
Wheat,Grains,50,121
Sugar,Essentials,45,122
Oil,Essentials,140,123
Milk,Dairy,30,124
,Dairy,,125
Bread,Bakery,40,126
Eggs,Poultry,75,127
Tea,Beverages,120,128
Coffee,Beverages,180,129
Salt,Essentials,20,130
Toor Dal,Pulses,160,131
Chana Dal,Pulses,90,132
Potato,Vegetables,30,133
Onion,Vegetables,35,134
Tomato,Vegetables,40,135
Apple,Fruits,160,136
Banana,Fruits,60,137
Orange,Fruits,80,138
Biscuit,Snacks,25,139
,,60,
Wheat,Grains,50,141
Sugar,Essentials,45,142
Oil,Essentials,140,143
Milk,Dairy,30,144
Curd,Dairy,35,145
Bread,Bakery,40,146
Eggs,Poultry,75,147
Tea,Beverages,120,148
Coffee,Beverages,180,149
Salt,Essentials,,100
Toor Dal,Pulses,160,101
Chana Dal,Pulses,90,102
Potato,Vegetables,30,103
Onion,Vegetables,35,104
,Vegetables,40,105
Apple,Fruits,160,106
Banana,Fruits,60,107
Orange,Fruits,80,108
Biscuit,Snacks,25,109
Rice,,60,110
Wheat,Grains,50,111
Sugar,Essentials,45,112
Oil,Essentials,140,113
Milk,Dairy,30,114
Curd,Dairy,35,115
Bread,Bakery,40,116
Eggs,Poultry,75,117
Tea,Beverages,120,118
Coffee,Beverages,180,119
,Essentials,20,
Toor Dal,Pulses,160,121
Chana Dal,Pulses,90,122
Potato,Vegetables,30,123
Onion,Vegetables,35,124
Tomato,Vegetables,,125
Apple,Fruits,160,126
Banana,Fruits,60,127
Orange,Fruits,80,128
Biscuit,Snacks,25,129
Rice,,60,130
Wheat,Grains,50,131
Sugar,Essentials,45,132
Oil,Essentials,140,133
Milk,Dairy,30,134
,Dairy,35,135
Bread,Bakery,40,136
Eggs,Poultry,75,137
Tea,Beverages,120,138
Coffee,Beverages,180,139
Salt,Essentials,20,140
Toor Dal,Pulses,160,141
Chana Dal,Pulses,90,142
Potato,Vegetables,30,143
Onion,Vegetables,35,144
Tomato,Vegetables,40,145
Apple,Fruits,160,146
Banana,Fruits,60,147
Orange,Fruits,80,148
Biscuit,Snacks,25,149
,,,
Wheat,Grains,50,101
Sugar,Essentials,45,102
Oil,Essentials,140,103
Milk,Dairy,30,104
Curd,Dairy,35,105
Bread,Bakery,40,106
Eggs,Poultry,75,107
Tea,Beverages,120,108
Coffee,Beverages,180,109
Salt,Essentials,20,110
Toor Dal,Pulses,160,111
Chana Dal,Pulses,90,112
Potato,Vegetables,30,113
Onion,Vegetables,35,114
,Vegetables,40,115
Apple,Fruits,160,116
Banana,Fruits,60,117
Orange,Fruits,80,118
Biscuit,Snacks,25,119
Rice,,60,120
Wheat,Grains,50,121
Sugar,Essentials,45,122
Oil,Essentials,140,123
Milk,Dairy,30,124
Curd,Dairy,,125
Bread,Bakery,40,126
Eggs,Poultry,75,127
Tea,Beverages,120,128
Coffee,Beverages,180,129
,Essentials,20,
Toor Dal,Pulses,160,131
Chana Dal,Pulses,90,132
Potato,Vegetables,30,133
Onion,Vegetables,35,134
Tomato,Vegetables,40,135
Apple,Fruits,160,136
Banana,Fruits,60,137
Orange,Fruits,80,138
Biscuit,Snacks,25,139
Rice,,60,140
Wheat,Grains,50,141
Sugar,Essentials,45,142
Oil,Essentials,140,143
Milk,Dairy,30,144
,Dairy,35,145
Bread,Bakery,40,146
Eggs,Poultry,75,147
Tea,Beverages,120,148
Coffee,Beverages,180,149
Salt,Essentials,,100
Toor Dal,Pulses,160,101
Chana Dal,Pulses,90,102
Potato,Vegetables,30,103
Onion,Vegetables,35,104
Tomato,Vegetables,40,105
Apple,Fruits,160,106
Banana,Fruits,60,107
Orange,Fruits,80,108
Biscuit,Snacks,25,109
,,60,
Wheat,Grains,50,111
Sugar,Essentials,45,112
Oil,Essentials,140,113
Milk,Dairy,30,114
Curd,Dairy,35,115
Bread,Bakery,40,116
Eggs,Poultry,75,117
Tea,Beverages,120,118
Coffee,Beverages,180,119
Salt,Essentials,20,120
Toor Dal,Pulses,160,121
Chana Dal,Pulses,90,122
Potato,Vegetables,30,123
Onion,Vegetables,35,124
,Vegetables,,125
Apple,Fruits,160,126
Banana,Fruits,60,127
Orange,Fruits,80,128
Biscuit,Snacks,25,129
Rice,,60,130
Wheat,Grains,50,131
Sugar,Essentials,45,132
Oil,Essentials,140,133
Milk,Dairy,30,134
Curd,Dairy,35,135
Bread,Bakery,40,136
Eggs,Poultry,75,137
Tea,Beverages,120,138
Coffee,Beverages,180,139
,Essentials,20,
Toor Dal,Pulses,160,141
Chana Dal,Pulses,90,142
Potato,Vegetables,30,143
Onion,Vegetables,35,144
Tomato,Vegetables,40,145
Apple,Fruits,160,146
Banana,Fruits,60,147
Orange,Fruits,80,148
Biscuit,Snacks,25,149
Rice,,,100
Wheat,Grains,50,101
Sugar,Essentials,45,102
Oil,Essentials,140,103
Milk,Dairy,30,104
,Dairy,35,105
Bread,Bakery,40,106
Eggs,Poultry,75,107
Tea,Beverages,120,108
Coffee,Beverages,180,109
Salt,Essentials,20,110
Toor Dal,Pulses,160,111
Chana Dal,Pulses,90,112
Potato,Vegetables,30,113
Onion,Vegetables,35,114
Tomato,Vegetables,40,115
Apple,Fruits,160,116
Banana,Fruits,60,117
Orange,Fruits,80,118
Biscuit,Snacks,25,119
,,60,
Wheat,Grains,50,121
Sugar,Essentials,45,122
Oil,Essentials,140,123
Milk,Dairy,30,124
Curd,Dairy,,125
Bread,Bakery,40,126
Eggs,Poultry,75,127
Tea,Beverages,120,128
Coffee,Beverages,180,129
Salt,Essentials,20,130
Toor Dal,Pulses,160,131
Chana Dal,Pulses,90,132
Potato,Vegetables,30,133
Onion,Vegetables,35,134
,Vegetables,40,135
Apple,Fruits,160,136
Banana,Fruits,60,137
Orange,Fruits,80,138
Biscuit,Snacks,25,139
Rice,,60,140
Wheat,Grains,50,141
Sugar,Essentials,45,142
Oil,Essentials,140,143
Milk,Dairy,30,144
Curd,Dairy,35,145
Bread,Bakery,40,146
Eggs,Poultry,75,147
Tea,Beverages,120,148
Coffee,Beverages,180,149
,Essentials,,
Toor Dal,Pulses,160,101
Chana Dal,Pulses,90,102
Potato,Vegetables,30,103
Onion,Vegetables,35,104
Tomato,Vegetables,40,105
Apple,Fruits,160,106
Banana,Fruits,60,107
Orange,Fruits,80,108
Biscuit,Snacks,25,109
Rice,,60,110
Wheat,Grains,50,111
Sugar,Essentials,45,112
Oil,Essentials,140,113
Milk,Dairy,30,114
,Dairy,35,115
Bread,Bakery,40,116
Eggs,Poultry,75,117
Tea,Beverages,120,118
Coffee,Beverages,180,119
Salt,Essentials,20,120
Toor Dal,Pulses,160,121
Chana Dal,Pulses,90,122
Potato,Vegetables,30,123
Onion,Vegetables,35,124
Tomato,Vegetables,,125
Apple,Fruits,160,126
Banana,Fruits,60,127
Orange,Fruits,80,128
Biscuit,Snacks,25,129
,,60,
Wheat,Grains,50,131
Sugar,Essentials,45,132
Oil,Essentials,140,133
Milk,Dairy,30,134
Curd,Dairy,35,135
Bread,Bakery,40,136
Eggs,Poultry,75,137
Tea,Beverages,120,138
Coffee,Beverages,180,139
Salt,Essentials,20,140
Toor Dal,Pulses,160,141
Chana Dal,Pulses,90,142
Potato,Vegetables,30,143
Onion,Vegetables,35,144
,Vegetables,40,145
Apple,Fruits,160,146
Banana,Fruits,60,147
Orange,Fruits,80,148
Biscuit,Snacks,25,149
Rice,,,100
Wheat,Grains,50,101
Sugar,Essentials,45,102
Oil,Essentials,140,103
Milk,Dairy,30,104
Curd,Dairy,35,105
Bread,Bakery,40,106
Eggs,Poultry,75,107
Tea,Beverages,120,108
Coffee,Beverages,180,109
,Essentials,20,
Toor Dal,Pulses,160,111
Chana Dal,Pulses,90,112
Potato,Vegetables,30,113
Onion,Vegetables,35,114
Tomato,Vegetables,40,115
Apple,Fruits,160,116
Banana,Fruits,60,117
Orange,Fruits,80,118
Biscuit,Snacks,25,119
Rice,,60,120
Wheat,Grains,50,121
Sugar,Essentials,45,122
Oil,Essentials,140,123
Milk,Dairy,30,124
,Dairy,,125
Bread,Bakery,40,126
Eggs,Poultry,75,127
Tea,Beverages,120,128
Coffee,Beverages,180,129
Salt,Essentials,20,130
Toor Dal,Pulses,160,131
Chana Dal,Pulses,90,132
Potato,Vegetables,30,133
Onion,Vegetables,35,134
Tomato,Vegetables,40,135
Apple,Fruits,160,136
Banana,Fruits,60,137
Orange,Fruits,80,138
Biscuit,Snacks,25,139
,,60,
Wheat,Grains,50,141
Sugar,Essentials,45,142
Oil,Essentials,140,143
Milk,Dairy,30,144
Curd,Dairy,35,145
Bread,Bakery,40,146
Eggs,Poultry,75,147
Tea,Beverages,120,148
Coffee,Beverages,180,149
Salt,Essentials,,100
Toor Dal,Pulses,160,101
Chana Dal,Pulses,90,102
Potato,Vegetables,30,103
Onion,Vegetables,35,104
,Vegetables,40,105
Apple,Fruits,160,106
Banana,Fruits,60,107
Orange,Fruits,80,108
Biscuit,Snacks,25,109
Rice,,60,110
Wheat,Grains,50,111
Sugar,Essentials,45,112
Oil,Essentials,140,113
Milk,Dairy,30,114
Curd,Dairy,35,115
Bread,Bakery,40,116
Eggs,Poultry,75,117
Tea,Beverages,120,118
Coffee,Beverages,180,119
,Essentials,20,
Toor Dal,Pulses,160,121
Chana Dal,Pulses,90,122
Potato,Vegetables,30,123
Onion,Vegetables,35,124
Tomato,Vegetables,,125
Apple,Fruits,160,126
Banana,Fruits,60,127
Orange,Fruits,80,128
Biscuit,Snacks,25,129
Rice,,60,130
Wheat,Grains,50,131
Sugar,Essentials,45,132
Oil,Essentials,140,133
Milk,Dairy,30,134
,Dairy,35,135
Bread,Bakery,40,136
Eggs,Poultry,75,137
Tea,Beverages,120,138
Coffee,Beverages,180,139
Salt,Essentials,20,140
Toor Dal,Pulses,160,141
Chana Dal,Pulses,90,142
Potato,Vegetables,30,143
Onion,Vegetables,35,144
Tomato,Vegetables,40,145
Apple,Fruits,160,146
Banana,Fruits,60,147
Orange,Fruits,80,148
Biscuit,Snacks,25,149
,,,
Wheat,Grains,50,101
Sugar,Essentials,45,102
Oil,Essentials,140,103
Milk,Dairy,30,104
Curd,Dairy,35,105
Bread,Bakery,40,106
Eggs,Poultry,75,107
Tea,Beverages,120,108
Coffee,Beverages,180,109
Salt,Essentials,20,110
Toor Dal,Pulses,160,111
Chana Dal,Pulses,90,112
Potato,Vegetables,30,113
Onion,Vegetables,35,114
,Vegetables,40,115
Apple,Fruits,160,116
Banana,Fruits,60,117
Orange,Fruits,80,118
Biscuit,Snacks,25,119
Rice,,60,120
Wheat,Grains,50,121
Sugar,Essentials,45,122
Oil,Essentials,140,123
Milk,Dairy,30,124
Curd,Dairy,,125
Bread,Bakery,40,126
Eggs,Poultry,75,127
Tea,Beverages,120,128
Coffee,Beverages,180,129
,Essentials,20,
Toor Dal,Pulses,160,131
Chana Dal,Pulses,90,132
Potato,Vegetables,30,133
Onion,Vegetables,35,134
Tomato,Vegetables,40,135
Apple,Fruits,160,136
Banana,Fruits,60,137
Orange,Fruits,80,138
Biscuit,Snacks,25,139
Rice,,60,140
Wheat,Grains,50,141
Sugar,Essentials,45,142
Oil,Essentials,140,143
Milk,Dairy,30,144
,Dairy,35,145
Bread,Bakery,40,146
Eggs,Poultry,75,147
Tea,Beverages,120,148
Coffee,Beverages,180,149
Salt,Essentials,,100
Toor Dal,Pulses,160,101
Chana Dal,Pulses,90,102
Potato,Vegetables,30,103
Onion,Vegetables,35,104
Tomato,Vegetables,40,105
Apple,Fruits,160,106
Banana,Fruits,60,107
Orange,Fruits,80,108
Biscuit,Snacks,25,109
,,60,
Wheat,Grains,50,111
Sugar,Essentials,45,112
Oil,Essentials,140,113
Milk,Dairy,30,114
Curd,Dairy,35,115
Bread,Bakery,40,116
Eggs,Poultry,75,117
Tea,Beverages,120,118
Coffee,Beverages,180,119
Salt,Essentials,20,120
Toor Dal,Pulses,160,121
Chana Dal,Pulses,90,122
Potato,Vegetables,30,123
Onion,Vegetables,35,124
,Vegetables,,125
Apple,Fruits,160,126
Banana,Fruits,60,127
Orange,Fruits,80,128
Biscuit,Snacks,25,129
Rice,,60,130
Wheat,Grains,50,131
Sugar,Essentials,45,132
Oil,Essentials,140,133
Milk,Dairy,30,134
Curd,Dairy,35,135
Bread,Bakery,40,136
Eggs,Poultry,75,137
Tea,Beverages,120,138
Coffee,Beverages,180,139
,Essentials,20,
Toor Dal,Pulses,160,141
Chana Dal,Pulses,90,142
Potato,Vegetables,30,143
Onion,Vegetables,35,144
Tomato,Vegetables,40,145
Apple,Fruits,160,146
Banana,Fruits,60,147
Orange,Fruits,80,148
Biscuit,Snacks,25,149
Rice,,,100
Wheat,Grains,50,101
Sugar,Essentials,45,102
Oil,Essentials,140,103
Milk,Dairy,30,104
,Dairy,35,105
Bread,Bakery,40,106
Eggs,Poultry,75,107
Tea,Beverages,120,108
Coffee,Beverages,180,109
Salt,Essentials,20,110
Toor Dal,Pulses,160,111
Chana Dal,Pulses,90,112
Potato,Vegetables,30,113
Onion,Vegetables,35,114
Tomato,Vegetables,40,115
Apple,Fruits,160,116
Banana,Fruits,60,117
Orange,Fruits,80,118
Biscuit,Snacks,25,119
,,60,
Wheat,Grains,50,121
Sugar,Essentials,45,122
Oil,Essentials,140,123
Milk,Dairy,30,124
Curd,Dairy,,125
Bread,Bakery,40,126
Eggs,Poultry,75,127
Tea,Beverages,120,128
Coffee,Beverages,180,129
Salt,Essentials,20,130
Toor Dal,Pulses,160,131
Chana Dal,Pulses,90,132
Potato,Vegetables,30,133
Onion,Vegetables,35,134
,Vegetables,40,135
Apple,Fruits,160,136
Banana,Fruits,60,137
Orange,Fruits,80,138
Biscuit,Snacks,25,139
Rice,,60,140
Wheat,Grains,50,141
Sugar,Essentials,45,142
Oil,Essentials,140,143
Milk,Dairy,30,144
Curd,Dairy,35,145
Bread,Bakery,40,146
Eggs,Poultry,75,147
Tea,Beverages,120,148
Coffee,Beverages,180,149
,Essentials,,
Toor Dal,Pulses,160,101
Chana Dal,Pulses,90,102
Potato,Vegetables,30,103
Onion,Vegetables,35,104
Tomato,Vegetables,40,105
Apple,Fruits,160,106
Banana,Fruits,60,107
Orange,Fruits,80,108
Biscuit,Snacks,25,109
Rice,,60,110
Wheat,Grains,50,111
Sugar,Essentials,45,112
Oil,Essentials,140,113
Milk,Dairy,30,114
,Dairy,35,115
Bread,Bakery,40,116
Eggs,Poultry,75,117
Tea,Beverages,120,118
Coffee,Beverages,180,119
Salt,Essentials,20,120
Toor Dal,Pulses,160,121
Chana Dal,Pulses,90,122
Potato,Vegetables,30,123
Onion,Vegetables,35,124
Tomato,Vegetables,,125
Apple,Fruits,160,126
Banana,Fruits,60,127
Orange,Fruits,80,128
Biscuit,Snacks,25,129
,,60,
Wheat,Grains,50,131
Sugar,Essentials,45,132
Oil,Essentials,140,133
Milk,Dairy,30,134
Curd,Dairy,35,135
Bread,Bakery,40,136
Eggs,Poultry,75,137
Tea,Beverages,120,138
Coffee,Beverages,180,139
Salt,Essentials,20,140
Toor Dal,Pulses,160,141
Chana Dal,Pulses,90,142
Potato,Vegetables,30,143
Onion,Vegetables,35,144
,Vegetables,40,145
Apple,Fruits,160,146
Banana,Fruits,60,147
Orange,Fruits,80,148
Biscuit,Snacks,25,149
Rice,,,100
Wheat,Grains,50,101
Sugar,Essentials,45,102
Oil,Essentials,140,103
Milk,Dairy,30,104
Curd,Dairy,35,105
Bread,Bakery,40,106
Eggs,Poultry,75,107
Tea,Beverages,120,108
Coffee,Beverages,180,109
,Essentials,20,
Toor Dal,Pulses,160,111
Chana Dal,Pulses,90,112
Potato,Vegetables,30,113
Onion,Vegetables,35,114
Tomato,Vegetables,40,115
Apple,Fruits,160,116
Banana,Fruits,60,117
Orange,Fruits,80,118
Biscuit,Snacks,25,119
Rice,,60,120
Wheat,Grains,50,121
Sugar,Essentials,45,122
Oil,Essentials,140,123
Milk,Dairy,30,124
,Dairy,,125
Bread,Bakery,40,126
Eggs,Poultry,75,127
Tea,Beverages,120,128
Coffee,Beverages,180,129
Salt,Essentials,20,130
Toor Dal,Pulses,160,131
Chana Dal,Pulses,90,132
Potato,Vegetables,30,133
Onion,Vegetables,35,134
Tomato,Vegetables,40,135
Apple,Fruits,160,136
Banana,Fruits,60,137
Orange,Fruits,80,138
Biscuit,Snacks,25,139
,,60,
Wheat,Grains,50,141
Sugar,Essentials,45,142
Oil,Essentials,140,143
Milk,Dairy,30,144
Curd,Dairy,35,145
Bread,Bakery,40,146
Eggs,Poultry,75,147
Tea,Beverages,120,148
Coffee,Beverages,180,149
Salt,Essentials,,100
Toor Dal,Pulses,160,101
Chana Dal,Pulses,90,102
Potato,Vegetables,30,103
Onion,Vegetables,35,104
,Vegetables,40,105
Apple,Fruits,160,106
Banana,Fruits,60,107
Orange,Fruits,80,108
Biscuit,Snacks,25,109
Rice,,60,110
Wheat,Grains,50,111
Sugar,Essentials,45,112
Oil,Essentials,140,113
Milk,Dairy,30,114
Curd,Dairy,35,115
Bread,Bakery,40,116
Eggs,Poultry,75,117
Tea,Beverages,120,118
Coffee,Beverages,180,119
,Essentials,20,
Toor Dal,Pulses,160,121
Chana Dal,Pulses,90,122
Potato,Vegetables,30,123
Onion,Vegetables,35,124
Tomato,Vegetables,,125
Apple,Fruits,160,126
Banana,Fruits,60,127
Orange,Fruits,80,128
Biscuit,Snacks,25,129
Rice,,60,130
Wheat,Grains,50,131
Sugar,Essentials,45,132
Oil,Essentials,140,133
Milk,Dairy,30,134
,Dairy,35,135
Bread,Bakery,40,136
Eggs,Poultry,75,137
Tea,Beverages,120,138
Coffee,Beverages,180,139
Salt,Essentials,20,140
Toor Dal,Pulses,160,141
Chana Dal,Pulses,90,142
Potato,Vegetables,30,143
Onion,Vegetables,35,144
Tomato,Vegetables,40,145
Apple,Fruits,160,146
Banana,Fruits,60,147
Orange,Fruits,80,148
Biscuit,Snacks,25,149
,,,
Wheat,Grains,50,101
Sugar,Essentials,45,102
Oil,Essentials,140,103
Milk,Dairy,30,104
Curd,Dairy,35,105
Bread,Bakery,40,106
Eggs,Poultry,75,107
Tea,Beverages,120,108
Coffee,Beverages,180,109
Salt,Essentials,20,110
Toor Dal,Pulses,160,111
Chana Dal,Pulses,90,112
Potato,Vegetables,30,113
Onion,Vegetables,35,114
,Vegetables,40,115
Apple,Fruits,160,116
Banana,Fruits,60,117
Orange,Fruits,80,118
Biscuit,Snacks,25,119
Rice,,60,120
Wheat,Grains,50,121
Sugar,Essentials,45,122
Oil,Essentials,140,123
Milk,Dairy,30,124
Curd,Dairy,,125
Bread,Bakery,40,126
Eggs,Poultry,75,127
Tea,Beverages,120,128
Coffee,Beverages,180,129
,Essentials,20,
Toor Dal,Pulses,160,131
Chana Dal,Pulses,90,132
Potato,Vegetables,30,133
Onion,Vegetables,35,134
Tomato,Vegetables,40,135
Apple,Fruits,160,136
Banana,Fruits,60,137
Orange,Fruits,80,138
Biscuit,Snacks,25,139
Rice,,60,140
Wheat,Grains,50,141
Sugar,Essentials,45,142
Oil,Essentials,140,143
Milk,Dairy,30,144
,Dairy,35,145
Bread,Bakery,40,146
Eggs,Poultry,75,147
Tea,Beverages,120,148
Coffee,Beverages,180,149
Salt,Essentials,,100
Toor Dal,Pulses,160,101
Chana Dal,Pulses,90,102
Potato,Vegetables,30,103
Onion,Vegetables,35,104
Tomato,Vegetables,40,105
Apple,Fruits,160,106
Banana,Fruits,60,107
Orange,Fruits,80,108
Biscuit,Snacks,25,109
,,60,
Wheat,Grains,50,111
Sugar,Essentials,45,112
Oil,Essentials,140,113
Milk,Dairy,30,114
Curd,Dairy,35,115
Bread,Bakery,40,116
Eggs,Poultry,75,117
Tea,Beverages,120,118
Coffee,Beverages,180,119
Salt,Essentials,20,120
Toor Dal,Pulses,160,121
Chana Dal,Pulses,90,122
Potato,Vegetables,30,123
Onion,Vegetables,35,124
,Vegetables,,125
Apple,Fruits,160,126
Banana,Fruits,60,127
Orange,Fruits,80,128
Biscuit,Snacks,25,129
Rice,,60,130
Wheat,Grains,50,131
Sugar,Essentials,45,132
Oil,Essentials,140,133
Milk,Dairy,30,134
Curd,Dairy,35,135
Bread,Bakery,40,136
Eggs,Poultry,75,137
Tea,Beverages,120,138
Coffee,Beverages,180,139
,Essentials,20,
Toor Dal,Pulses,160,141
Chana Dal,Pulses,90,142
Potato,Vegetables,30,143
Onion,Vegetables,35,144
Tomato,Vegetables,40,145
Apple,Fruits,160,146
Banana,Fruits,60,147
Orange,Fruits,80,148
Biscuit,Snacks,25,149
Rice,,,100
Wheat,Grains,50,101
Sugar,Essentials,45,102
Oil,Essentials,140,103
Milk,Dairy,30,104
,Dairy,35,105
Bread,Bakery,40,106
Eggs,Poultry,75,107
Tea,Beverages,120,108
Coffee,Beverages,180,109
Salt,Essentials,20,110
Toor Dal,Pulses,160,111
Chana Dal,Pulses,90,112
Potato,Vegetables,30,113
Onion,Vegetables,35,114
Tomato,Vegetables,40,115
Apple,Fruits,160,116
Banana,Fruits,60,117
Orange,Fruits,80,118
Biscuit,Snacks,25,119
,,60,
Wheat,Grains,50,121
Sugar,Essentials,45,122
Oil,Essentials,140,123
Milk,Dairy,30,124
Curd,Dairy,,125
Bread,Bakery,40,126
Eggs,Poultry,75,127
Tea,Beverages,120,128
Coffee,Beverages,180,129
Salt,Essentials,20,130
Toor Dal,Pulses,160,131
Chana Dal,Pulses,90,132
Potato,Vegetables,30,133
Onion,Vegetables,35,134
,Vegetables,40,135
Apple,Fruits,160,136
Banana,Fruits,60,137
Orange,Fruits,80,138
Biscuit,Snacks,25,139
Rice,,60,140
Wheat,Grains,50,141
Sugar,Essentials,45,142
Oil,Essentials,140,143
Milk,Dairy,30,144
Curd,Dairy,35,145
Bread,Bakery,40,146
Eggs,Poultry,75,147
Tea,Beverages,120,148
Coffee,Beverages,180,149
,Essentials,,
Toor Dal,Pulses,160,101
Chana Dal,Pulses,90,102
Potato,Vegetables,30,103
Onion,Vegetables,35,104
Tomato,Vegetables,40,105
Apple,Fruits,160,106
Banana,Fruits,60,107
Orange,Fruits,80,108
Biscuit,Snacks,25,109
Rice,,60,110
Wheat,Grains,50,111
Sugar,Essentials,45,112
Oil,Essentials,140,113
Milk,Dairy,30,114
,Dairy,35,115
Bread,Bakery,40,116
Eggs,Poultry,75,117
Tea,Beverages,120,118
Coffee,Beverages,180,119
Salt,Essentials,20,120
Toor Dal,Pulses,160,121
Chana Dal,Pulses,90,122
Potato,Vegetables,30,123
Onion,Vegetables,35,124
Tomato,Vegetables,,125
Apple,Fruits,160,126
Banana,Fruits,60,127
Orange,Fruits,80,128
Biscuit,Snacks,25,129
,,60,
Wheat,Grains,50,131
Sugar,Essentials,45,132
Oil,Essentials,140,133
Milk,Dairy,30,134
Curd,Dairy,35,135
Bread,Bakery,40,136
Eggs,Poultry,75,137
Tea,Beverages,120,138
Coffee,Beverages,180,139
Salt,Essentials,20,140
